judul,lemmatized,kategori,tanggal_upload,waktu_upload,link_berita
"Dugaan Pemerkosaan Wanita Boyolali, Polda Jateng Masih Periksa Bukti",duga perkosa wanita boyolali polda jateng periksa bukti,REGIONAL,28/01/2022, 22:29 WIB,https://regional.kompas.com/read/2022/01/28/222949378/dugaan-pemerkosaan-wanita-boyolali-polda-jateng-masih-periksa-bukti
"Falcon Pictures Remake The Invisible Guest, Dibintangi Reza Rahadian hingga Mawar de Jongh",falcon pictures remake the invisible guest bintang reza rahadian hingga mawar de jongh,HYPE,28/01/2022, 22:24 WIB,https://www.kompas.com/hype/read/2022/01/28/222442966/falcon-pictures-remake-the-invisible-guest-dibintangi-reza-rahadian-hingga
"Pekan Depan, Kejagung Periksa Purnawirawan TNI Terkait Kasus Satelit Kemenhan",pekan jagung periksa purnawirawan tni kait satelit kemenhan,NEWS,28/01/2022, 22:23 WIB,https://nasional.kompas.com/read/2022/01/28/22232111/pekan-depan-kejagung-periksa-purnawirawan-tni-terkait-kasus-satelit-kemenhan
"Kasus Ayah Curi Getah Karet demi Sekolah Anak Dihentikan, Kejari Tulang Bawang: Restorative Justice",ayah curi getah karet sekolah anak henti kejar tulang bawang restorative justice,REGIONAL,28/01/2022, 22:18 WIB,https://regional.kompas.com/read/2022/01/28/221838078/kasus-ayah-curi-getah-karet-demi-sekolah-anak-dihentikan-kejari-tulang
Update Persiapan MotoGP Indonesia: ITDC Pastikan Tak Ada Genangan di Sirkuit Mandalika ,update siap motogp indonesia itdc pasti tak genang sirkuit mandalika,BOLA,28/01/2022, 22:13 WIB,https://www.kompas.com/motogp/read/2022/01/28/22135788/update-persiapan-motogp-indonesia-itdc-pastikan-tak-ada-genangan-di
Gubernur Khofifah Minta Kepala Daerah di Jatim Waspadai Ancaman DBD,gubernur khofifah kepala daerah jatim waspada ancam dbd,REGIONAL,28/01/2022, 22:13 WIB,https://surabaya.kompas.com/read/2022/01/28/221353878/gubernur-khofifah-minta-kepala-daerah-di-jatim-waspadai-ancaman-dbd
"DPR, KPU, dan Bawaslu Disebut Akan Bahas Aturan Kampanye Pemilu di Ruang Digital",dpr kpu bawaslu bahas atur kampanye milu ruang digital,NEWS,28/01/2022, 22:12 WIB,https://nasional.kompas.com/read/2022/01/28/22121801/dpr-kpu-dan-bawaslu-disebut-akan-bahas-aturan-kampanye-pemilu-di-ruang
Austria Akan Cabut Lockdown bagi Warga yang Belum Divaksin Covid-19,austria cabut lockdown warga vaksin covid,GLOBAL,28/01/2022, 22:08 WIB,https://www.kompas.com/global/read/2022/01/28/220800670/austria-akan-cabut-lockdown-bagi-warga-yang-belum-divaksin-covid-19
"Penadah Mobil Rampasan Debt Collector yang Seret Polisi 1 Kilometer Ditangkap, Sudah Jadi Tersangka",tadah mobil rampas debt collector seret polisi kilometer tangkap sangka,REGIONAL,28/01/2022, 22:07 WIB,https://regional.kompas.com/read/2022/01/28/220757778/penadah-mobil-rampasan-debt-collector-yang-seret-polisi-1-kilometer
"Hasil Barito Putera Vs PSM Makassar: Menang 2-1, Laskar Juku Eja Naik ke 10 Besar",hasil barito putera vs psm makassar menang laskar juku eja besar,BOLA,28/01/2022, 22:04 WIB,https://bola.kompas.com/read/2022/01/28/22040038/hasil-barito-putera-vs-psm-makassar-menang-2-1-laskar-juku-eja-naik-ke-10-besar
Homestay di Labuan Bajo Fokus Tingkatkan Kualitas Jelang G20,homestay labu bajo fokus tingkat kualitas jelang g,TRAVEL,28/01/2022, 22:04 WIB,https://travel.kompas.com/read/2022/01/28/220400927/homestay-di-labuan-bajo-fokus-tingkatkan-kualitas-jelang-g20
Polisi Cari Pria yang Pura-pura Tertabrak dan Adang Mobil di Pasar Rebo,polisi cari pria pura pura tabrak adang mobil pasar rebo,NEWS,28/01/2022, 22:03 WIB,https://megapolitan.kompas.com/read/2022/01/28/22035331/polisi-cari-pria-yang-pura-pura-tertabrak-dan-adang-mobil-di-pasar-rebo
"Resep Udang Goreng Bawang Putih, Lauk Simple Hanya 5 Bahan",resep udang goreng bawang putih lauk simple bahan,FOOD,28/01/2022, 22:03 WIB,https://www.kompas.com/food/read/2022/01/28/220300775/resep-udang-goreng-bawang-putih-lauk-simple-hanya-5-bahan
"Mahfud Sebut TNI di Papua Kini Bersifat Defensif, Bukan Ofensif ",mahfud tni papua sifat defensif ofensif,NEWS,28/01/2022, 22:00 WIB,https://nasional.kompas.com/read/2022/01/28/22000651/mahfud-sebut-tni-di-papua-kini-bersifat-defensif-bukan-ofensif
Pembangunan Hunian Warga Terdampak Bencana di NTT dan NTB Ditargetkan Rampung Maret 2022,bangun huni warga dampak bencana ntt ntb target rampung maret,MONEY,28/01/2022, 22:00 WIB,https://money.kompas.com/read/2022/01/28/220000626/pembangunan-hunian-warga-terdampak-bencana-di-ntt-dan-ntb-ditargetkan-rampung
11 Cara Mudah Mengatasi Leher Gatal,mudah atas leher gatal,HEALTH,28/01/2022, 22:00 WIB,https://health.kompas.com/read/2022/01/28/220000068/11-cara-mudah-mengatasi-leher-gatal
"Rilis ""Merasa Indah"", Tiara Andini Mesra dengan Jefri Nichol",rilis indah tiara andini mesra jefri nichol,HYPE,28/01/2022, 21:58 WIB,https://www.kompas.com/hype/read/2022/01/28/215852766/rilis-merasa-indah-tiara-andini-mesra-dengan-jefri-nichol
9 Benda Paling Kotor di Dapur dan Sering Lupakan Dibersihkan,benda kotor dapur lupa bersih,HOMEY,28/01/2022, 21:54 WIB,https://www.kompas.com/homey/read/2022/01/28/215400076/9-benda-paling-kotor-di-dapur-dan-sering-lupakan-dibersihkan
"Anggota DPRD DKI Sebut Studi Banding Formula E Tak Perlu ke Arab Saudi, Cukup ke Mandalika",anggota dprd dki studi banding formula e tak arab saudi mandalika,NEWS,28/01/2022, 21:53 WIB,https://megapolitan.kompas.com/read/2022/01/28/21533081/anggota-dprd-dki-sebut-studi-banding-formula-e-tak-perlu-ke-arab-saudi
"Tunjang Ekspor Semen dan Clinker, Proyek Pelabuhan Khusus Rp 1,4 Triliun Dimulai",tunjang ekspor semen clinker proyek labuh khusus rp triliun,PROPERTI,28/01/2022, 21:52 WIB,https://www.kompas.com/properti/read/2022/01/28/215226021/tunjang-ekspor-semen-dan-clinker-proyek-pelabuhan-khusus-rp-14-triliun
"Polisi Selidiki Video Pria Pura-pura Tertabrak Mobil, Diduga Hendak Memeras",polisi selidik video pria pura pura tabrak mobil duga peras,NEWS,28/01/2022, 21:47 WIB,https://megapolitan.kompas.com/read/2022/01/28/21471421/polisi-selidiki-video-pria-pura-pura-tertabrak-mobil-diduga-hendak
Pelatih Bhayangkara Singgung Evan Dimas Usai Timnya Kalah Tipis dari Persik,latih bhayangkara singgung evan mas tim kalah tipis persik,BOLA,28/01/2022, 21:40 WIB,https://bola.kompas.com/read/2022/01/28/21400078/pelatih-bhayangkara-singgung-evan-dimas-usai-timnya-kalah-tipis-dari-persik
"UPDATE Covid-19 di Kalteng, Kaltim, Kaltara, Gorontalo, Sulbar, Sulsel, dan Sultra 28 Januari 2022",update covid kalteng kaltim kaltara gorontalo sulbar sulsel sultra januari,REGIONAL,28/01/2022, 21:37 WIB,https://regional.kompas.com/read/2022/01/28/213719578/update-covid-19-di-kalteng-kaltim-kaltara-gorontalo-sulbar-sulsel-dan
"HT Arema FC Vs Persipura, Tendangan Bebas Carlos Fortes Bawa Singo Edan Unggul 1-0",ht arema fc vs persipura tendang bebas carlos fortes bawa singo edan unggul,BOLA,28/01/2022, 21:35 WIB,https://bola.kompas.com/read/2022/01/28/21350688/ht-arema-fc-vs-persipura-tendangan-bebas-carlos-fortes-bawa-singo-edan-unggul-1
"Tembak Pipi Penjaga Portal dengan Air Gun Saat Mabuk, Pemilik Kafe di Medan Ditangkap",tembak pipi jaga portal air gun mabuk milik kafe medan tangkap,REGIONAL,28/01/2022, 21:35 WIB,https://medan.kompas.com/read/2022/01/28/213502978/tembak-pipi-penjaga-portal-dengan-air-gun-saat-mabuk-pemilik-kafe-di-medan
"Diduga Jalankan Praktik Prostitusi, Puluhan Warung Remang-remang di Mojokerto Ditutup Paksa",duga jalan praktik prostitusi puluh warung remang remang mojokerto tutup paksa,REGIONAL,28/01/2022, 21:33 WIB,https://regional.kompas.com/read/2022/01/28/213318578/diduga-jalankan-praktik-prostitusi-puluhan-warung-remang-remang-di
"Bangun Kilang di Tuban, Pertamina Pastikan Rekrut Tenaga Kerja Lokal",bangun kilang tuban pertamina pasti rekrut tenaga kerja lokal,MONEY,28/01/2022, 21:32 WIB,https://money.kompas.com/read/2022/01/28/213200126/bangun-kilang-di-tuban-pertamina-pastikan-rekrut-tenaga-kerja-lokal
RS di Amerika Tolak Operasi Transplantasi Jantung Pasien Anti-vaksin,rs amerika tolak operasi transplantasi jantung pasien anti vaksin,GLOBAL,28/01/2022, 21:31 WIB,https://www.kompas.com/global/read/2022/01/28/213100970/rs-di-amerika-tolak-operasi-transplantasi-jantung-pasien-anti-vaksin
"Lowongan Kerja Bank BTN bagi Lulusan S1/S2, Tertarik?",lowong kerja bank btn lulus s s,EDUKASI,28/01/2022, 21:27 WIB,https://www.kompas.com/edu/read/2022/01/28/212734071/lowongan-kerja-bank-btn-bagi-lulusan-s1-s2-tertarik
Mahfud Tegaskan Tak Ada Unsur SARA pada Bentrokan di Pulau Haruku,mahfud tegas tak unsur sara bentrok pulau haru,NEWS,28/01/2022, 21:25 WIB,https://nasional.kompas.com/read/2022/01/28/21251541/mahfud-tegaskan-tak-ada-unsur-sara-pada-bentrokan-di-pulau-haruku
"Geopark Ciletuh Sukabumi: Lokasi, Rute, dan Jam Buka  ",geopark ciletuh sukabumi lokasi jam buka,REGIONAL,28/01/2022, 21:25 WIB,https://bandung.kompas.com/read/2022/01/28/212502078/geopark-ciletuh-sukabumi-lokasi-rute-dan-jam-buka
Indra Bekti Jadikan Bigo Live Lumbung Penghasilan Selama Pandemi,indra bekti jadi bigo live lumbung hasil pandemi,HYPE,28/01/2022, 21:23 WIB,https://www.kompas.com/hype/read/2022/01/28/212301366/indra-bekti-jadikan-bigo-live-lumbung-penghasilan-selama-pandemi
"Kasus Covid-19 Melonjak, Dalam Sehari 283 Warga Asal Kabupaten Bogor Terpapar",covid lonjak warga kabupaten bogor papar,REGIONAL,28/01/2022, 21:22 WIB,https://regional.kompas.com/read/2022/01/28/212243578/kasus-covid-19-melonjak-dalam-sehari-283-warga-asal-kabupaten-bogor
"UPDATE Covid-19 di Jabar, Jateng, Banten, Sumsel, Babel, dan Lampung 28 Januari 2022",update covid jabar jateng banten sumsel babel lampung januari,REGIONAL,28/01/2022, 21:21 WIB,https://regional.kompas.com/read/2022/01/28/212159278/update-covid-19-di-jabar-jateng-banten-sumsel-babel-dan-lampung-28-januari
Perbedaan Kebutuhan Kebugaran Jasmani ,beda butuh bugar jasmani,BOLA,28/01/2022, 21:20 WIB,https://www.kompas.com/sports/read/2022/01/28/21200028/perbedaan-kebutuhan-kebugaran-jasmani-
5 Cara Mudah Menghias Sudut Kosong di Dalam Rumah,mudah hias sudut kosong rumah,HOMEY,28/01/2022, 21:17 WIB,https://www.kompas.com/homey/read/2022/01/28/211700376/5-cara-mudah-menghias-sudut-kosong-di-dalam-rumah
18 Pegawai KPK yang Terpapar Covid-19 Jalani Isolasi Mandiri,pegawai kpk papar covid jalan isolasi mandiri,NEWS,28/01/2022, 21:16 WIB,https://nasional.kompas.com/read/2022/01/28/21160921/18-pegawai-kpk-yang-terpapar-covid-19-jalani-isolasi-mandiri
"Soal Korupsi di Bawah Rp 50 Juta Cukup Kembalikan Kerugian Negara, Kejagung: Bukan Impunitas dan Masih Wacana",korupsi rp juta kembali rugi negara jagung impunitas wacana,NEWS,28/01/2022, 21:14 WIB,https://nasional.kompas.com/read/2022/01/28/21143921/soal-korupsi-di-bawah-rp-50-juta-cukup-kembalikan-kerugian-negara-kejagung
"Minyak Goreng Dijual Mulai Rp 11.500 Per 1 Februari, Apakah Ada Subsidi?",minyak goreng jual rp februari subsidi,TREN,28/01/2022, 21:13 WIB,https://www.kompas.com/tren/read/2022/01/28/211355765/minyak-goreng-dijual-mulai-rp-11500-per-1-februari-apakah-ada-subsidi
Blue Pass untuk Turis Travel Bubble Bisa Lacak Kontak Erat Covid-19,blue pass turis travel bubble lacak kontak erat covid,TRAVEL,28/01/2022, 21:13 WIB,https://travel.kompas.com/read/2022/01/28/211316827/blue-pass-untuk-turis-travel-bubble-bisa-lacak-kontak-erat-covid-19
3 Tersangka Kasus Mafia Tanah Pembangunan Jalan Wisata Kendari-Toronipa Ditahan,sangka mafia tanah bangun jalan wisata kendari toronipa tahan,REGIONAL,28/01/2022, 21:13 WIB,https://regional.kompas.com/read/2022/01/28/211304178/3-tersangka-kasus-mafia-tanah-pembangunan-jalan-wisata-kendari-toronipa
"3 Cara Hangatkan Seafood, Rasanya Tidak Berubah ",hangat seafood ubah,FOOD,28/01/2022, 21:12 WIB,https://www.kompas.com/food/read/2022/01/28/211200075/3-cara-hangatkan-seafood-rasanya-tidak-berubah-
"Indonesia Jadi Tuan Rumah Forum PBB di Tengah Pandemi, Pemerintah Siapkan Skenario Acara",indonesia tuan rumah forum pbb pandemi perintah siap skenario acara,REGIONAL,28/01/2022, 21:11 WIB,https://denpasar.kompas.com/read/2022/01/28/211120578/indonesia-jadi-tuan-rumah-forum-pbb-di-tengah-pandemi-pemerintah-siapkan
Astra Inisiasi Program Olah Sampah Plastik Jadi BBM untuk Tingkatkan Ekonomi Masyarakat,astra inisiasi program olah sampah plastik bbm tingkat ekonomi masyarakat,UMKM,28/01/2022, 21:10 WIB,https://umkm.kompas.com/read/2022/01/28/211049483/astra-inisiasi-program-olah-sampah-plastik-jadi-bbm-untuk-tingkatkan-ekonomi
Hindari 6 Kesalahan Umum Ini Saat Merawat Kulit,hindar salah rawat kulit,LIFESTYLE,28/01/2022, 21:10 WIB,https://lifestyle.kompas.com/read/2022/01/28/211027420/hindari-6-kesalahan-umum-ini-saat-merawat-kulit
"18 Pegawai Terpapar Covid-19, KPK Atur Proporsi Kerja",pegawai papar covid kpk atur proporsi kerja,NEWS,28/01/2022, 21:07 WIB,https://nasional.kompas.com/read/2022/01/28/21075181/18-pegawai-terpapar-covid-19-kpk-atur-proporsi-kerja
"Kritik Wacana Jaksa Agung soal Korupsi di Bawah Rp 50 Juta, ICW: Menambah Semangat Para Pelaku",kritik wacana jaksa agung korupsi rp juta icw tambah semangat laku,NEWS,28/01/2022, 21:07 WIB,https://nasional.kompas.com/read/2022/01/28/21074811/kritik-wacana-jaksa-agung-soal-korupsi-di-bawah-rp-50-juta-icw-menambah
"Rusia Klaim Tidak Mau Perang Lawan Ukraina, tapi...",rusia klaim perang lawan ukraina,GLOBAL,28/01/2022, 21:07 WIB,https://www.kompas.com/global/read/2022/01/28/210700670/rusia-klaim-tidak-mau-perang-lawan-ukraina-tapi-
Pasar Malam Ikan Bandeng di Rawa Belong Diserbu Warga Jelang Imlek,pasar malam ikan bandeng rawa bong serbu warga jelang imlek,NEWS,28/01/2022, 21:05 WIB,https://megapolitan.kompas.com/read/2022/01/28/21050241/pasar-malam-ikan-bandeng-di-rawa-belong-diserbu-warga-jelang-imlek
"Ledakan di Rumah Grobogan, Polisi Sebut Penyebabnya Bahan Petasan untuk Mengusir Kelelawar",ledak rumah grobogan polisi sebab bahan petas usir kelelawar,REGIONAL,28/01/2022, 21:04 WIB,https://regional.kompas.com/read/2022/01/28/210410678/ledakan-di-rumah-grobogan-polisi-sebut-penyebabnya-bahan-petasan-untuk
Perjalanan Rahasia Soeharto: Menginap di Rumah Warga hingga Bekal Beras dan Tempe,jalan rahasia soeharto inap rumah warga hingga bekal beras tempe,NEWS,28/01/2022, 21:03 WIB,https://nasional.kompas.com/read/2022/01/28/21034981/perjalanan-rahasia-soeharto-menginap-di-rumah-warga-hingga-bekal-beras-dan
Mau Nabung di ATM Setor Tunai Mandiri Terdekat? Simak Caranya,nabung atm setor tunai mandiri dekat simak,MONEY,28/01/2022, 21:02 WIB,https://money.kompas.com/read/2022/01/28/210200026/mau-nabung-di-atm-setor-tunai-mandiri-terdekat-simak-caranya
Arena Gladiator Romawi Terakhir yang Pernah Dibangun Ditemukan di Swiss,arena gladiator romawi bangun temu swiss,SAINS,28/01/2022, 21:01 WIB,https://www.kompas.com/sains/read/2022/01/28/210100323/arena-gladiator-romawi-terakhir-yang-pernah-dibangun-ditemukan-di-swiss
"Kenali Apa itu Vaginismus, Gangguan Susah Penetrasi Vagina",kenal vaginismus ganggu susah penetrasi vagina,HEALTH,28/01/2022, 21:01 WIB,https://health.kompas.com/read/2022/01/28/210100968/kenali-apa-itu-vaginismus-gangguan-susah-penetrasi-vagina
Polisi Periksa Kejiwaan Pelajar SMP di Kupang yang Terjatuh ke Jembatan Liliba,polisi periksa jiwa ajar smp kupang jatuh jembatan liliba,REGIONAL,28/01/2022, 20:58 WIB,https://regional.kompas.com/read/2022/01/28/205851778/polisi-periksa-kejiwaan-pelajar-smp-di-kupang-yang-terjatuh-ke-jembatan
"Layangan Putus Siap Tayang di RCTI, Adegan Dewasa Akan Disensor",layang putus tayang rcti adegan dewasa sensor,HYPE,28/01/2022, 20:55 WIB,https://www.kompas.com/hype/read/2022/01/28/205523866/layangan-putus-siap-tayang-di-rcti-adegan-dewasa-akan-disensor
HT Barito Putera Vs PSM Makassar: Laskar Juku Eja Unggul 2-1,ht barito putera vs psm makassar laskar juku eja unggul,BOLA,28/01/2022, 20:54 WIB,https://bola.kompas.com/read/2022/01/28/20541498/ht-barito-putera-vs-psm-makassar-laskar-juku-eja-unggul-2-1
"Demo Ormas di Mapolda Jabar Ricuh, Begini Respons Ridwan Kamil",demo ormas mapolda jabar ricuh respons ridwan kamil,REGIONAL,28/01/2022, 20:45 WIB,https://bandung.kompas.com/read/2022/01/28/204534578/demo-ormas-di-mapolda-jabar-ricuh-begini-respons-ridwan-kamil
"Seorang Pelajar SMAN 8 Kota Malang Terpapar Covid-19, PTM Satu Kelas Dihentikan",ajar sman kota malang papar covid ptm kelas henti,REGIONAL,28/01/2022, 20:45 WIB,https://surabaya.kompas.com/read/2022/01/28/204504778/seorang-pelajar-sman-8-kota-malang-terpapar-covid-19-ptm-satu-kelas
Direktur Gizi Kemenkes: Penanganan Stunting Harus Disesuaikan Versi Kearifan Lokal,direktur gizi kemenkes tangan stunting sesuai versi arif lokal,SAINS,28/01/2022, 20:45 WIB,https://www.kompas.com/sains/read/2022/01/28/204500323/direktur-gizi-kemenkes--penanganan-stunting-harus-disesuaikan-versi
"Persib Vs Persikabo, Dimas Drajad Siap Dobrak Pertahanan Grendel Maung Bandung",persib vs persikabo mas drajad dobrak tahan grendel maung bandung,BOLA,28/01/2022, 20:40 WIB,https://bola.kompas.com/read/2022/01/28/20400098/persib-vs-persikabo-dimas-drajad-siap-dobrak-pertahanan-grendel-maung-bandung
6 Elemen Dekorasi yang Berbahaya Untuk Hewan Peliharaan,elemen dekorasi bahaya hewan pelihara,HOMEY,28/01/2022, 20:40 WIB,https://www.kompas.com/homey/read/2022/01/28/204000676/6-elemen-dekorasi-yang-berbahaya-untuk-hewan-peliharaan
Artotel Thamrin-Jakarta Tawarkan Sensasi Staycation Bertema Singapura,artotel thamrin jakarta tawar sensasi staycation tema singapura,TRAVEL,28/01/2022, 20:38 WIB,https://travel.kompas.com/read/2022/01/28/203808327/artotel-thamrin-jakarta-tawarkan-sensasi-staycation-bertema-singapura
"Sisa Anggaran di Bangka Belitung Capai Rp 798,38 Miliar",sisa anggar bangka belitung capai rp miliar,MONEY,28/01/2022, 20:35 WIB,https://money.kompas.com/read/2022/01/28/203500526/sisa-anggaran-di-bangka-belitung-capai-rp-798-38-miliar
KPK Umumkan 18 Pegawai Positif Covid-19,kpk umum pegawai positif covid,NEWS,28/01/2022, 20:34 WIB,https://nasional.kompas.com/read/2022/01/28/20341731/kpk-umumkan-18-pegawai-positif-covid-19
"Kasus Covid-19 Melonjak, Epidemiolog: Jakarta Harusnya Terapkan PPKM Lebih Ketat",covid lonjak epidemiolog jakarta terap ppkm ketat,NEWS,28/01/2022, 20:34 WIB,https://megapolitan.kompas.com/read/2022/01/28/20340831/kasus-covid-19-melonjak-epidemiolog-jakarta-harusnya-terapkan-ppkm-lebih
"Mengenal Weighted Vest, ""Rompi Militer"" yang Dipakai AHY Berolahraga",kenal weighted vest rompi militer pakai ahy olahraga,NEWS,28/01/2022, 20:33 WIB,https://nasional.kompas.com/read/2022/01/28/20333091/mengenal-weighted-vest-rompi-militer-yang-dipakai-ahy-berolahraga
"Kasus Investasi Bodong di Lamongan, Polisi Tetapkan 2 Tersangka Baru",investasi bodong lamongan polisi tetap sangka,REGIONAL,28/01/2022, 20:33 WIB,https://surabaya.kompas.com/read/2022/01/28/203310078/kasus-investasi-bodong-di-lamongan-polisi-tetapkan-2-tersangka-baru
"Resep Overnight Oat, Bikin Sarapan Sehat untuk Besok",resep overnight oat bikin sarap sehat besok,FOOD,28/01/2022, 20:32 WIB,https://www.kompas.com/food/read/2022/01/28/203200875/resep-overnight-oat-bikin-sarapan-sehat-untuk-besok
"1 Februari, Basuki Akan Hadiri Groundbreaking Jembatan Sungai Sambas Besar ",februari basuki hadir groundbreaking jembatan sungai sambas besar,PROPERTI,28/01/2022, 20:30 WIB,https://www.kompas.com/properti/read/2022/01/28/203000821/1-februari-basuki-akan-hadiri-groundbreaking-jembatan-sungai-sambas
"Muncul Subvarian Omicron BA.2, Apa Itu dan Seberapa Berbahaya?",muncul subvarian omicron ba bahaya,TREN,28/01/2022, 20:30 WIB,https://www.kompas.com/tren/read/2022/01/28/203000365/muncul-subvarian-omicron-ba.2-apa-itu-dan-seberapa-berbahaya-
Ilmuwan Deteksi Objek Misterius yang Lepaskan Energi Radio Setiap 18 Menit,ilmuwan deteksi objek misterius lepas energi radio menit,SAINS,28/01/2022, 20:30 WIB,https://www.kompas.com/sains/read/2022/01/28/203000923/ilmuwan-deteksi-objek-misterius-yang-lepaskan-energi-radio-setiap-18-menit
Nasib LGBT Afghanistan di Tengah Pemerintahan Taliban,nasib lgbt afghanistan perintah talib,GLOBAL,28/01/2022, 20:30 WIB,https://www.kompas.com/global/read/2022/01/28/203000170/nasib-lgbt-afghanistan-di-tengah-pemerintahan-taliban
Jokowi Ajak Pasien Covid-19 Bergejala Ringan Manfaatkan Telemedisin,jokowi ajak pasien covid gejala ringan manfaat telemedisin,NEWS,28/01/2022, 20:29 WIB,https://nasional.kompas.com/read/2022/01/28/20293361/jokowi-ajak-pasien-covid-19-bergejala-ringan-manfaatkan-telemedisin
"Kasus Dugaan Korupsi Pembangunan Jalan, KPK Periksa 11 Pejabat Pemkab Buru Selatan",duga korupsi bangun jalan kpk periksa jabat pemkab buru selatan,REGIONAL,28/01/2022, 20:27 WIB,https://regional.kompas.com/read/2022/01/28/202741478/kasus-dugaan-korupsi-pembangunan-jalan-kpk-periksa-11-pejabat-pemkab-buru
"Catat, Ini Tanggal Tayang Layangan Putus di RCTI ",catat tanggal tayang layang putus rcti,HYPE,28/01/2022, 20:27 WIB,https://www.kompas.com/hype/read/2022/01/28/202741866/catat-ini-tanggal-tayang-layangan-putus-di-rcti
Polisi Hentikan Penyidikan Penjambretan di Tebet karena Pelaku Tewas Ditabrak Korban,polisi henti sidik jambret tebet laku tewas tabrak korban,NEWS,28/01/2022, 20:22 WIB,https://megapolitan.kompas.com/read/2022/01/28/20225211/polisi-hentikan-penyidikan-penjambretan-di-tebet-karena-pelaku-tewas
"Kisah Cinta Soeharto-Ibu Tien, Perjodohan, dan Kesedihan di TMII",kisah cinta soeharto tien jodoh sedih tmii,NEWS,28/01/2022, 20:20 WIB,https://nasional.kompas.com/read/2022/01/28/20204201/kisah-cinta-soeharto-ibu-tien-perjodohan-dan-kesedihan-di-tmii
"Meriahkan Tahun Baru Imlek, PUBG MOBILE Bagi-bagi Hadiah",riah imlek pubg mobile hadiah,BOLA,28/01/2022, 20:20 WIB,https://bola.kompas.com/read/2022/01/28/20200098/meriahkan-tahun-baru-imlek-pubg-mobile-bagi-bagi-hadiah
Pembantaian Geger Pecinan 1740 dan Perlawanan Bangsa Tionghoa ke VOC,bantai geger pecinan lawan bangsa tionghoa voc,CEK FAKTA,28/01/2022, 20:20 WIB,https://www.kompas.com/cekfakta/read/2022/01/28/202000482/pembantaian-geger-pecinan-1740-dan-perlawanan-bangsa-tionghoa-ke-voc
"Detik-detik Mobil Angkutan Desa Terbalik di NTT, Ban Meletus, 1 Penumpang Tewas",detik detik mobil angkut desa balik ntt ban letus tumpang tewas,REGIONAL,28/01/2022, 20:19 WIB,https://regional.kompas.com/read/2022/01/28/201933878/detik-detik-mobil-angkutan-desa-terbalik-di-ntt-ban-meletus-1-penumpang
"Unggah Foto Bareng Anak, Aura Kasih: Papa Baru Mana?",unggah foto bareng anak aura kasih papa,HYPE,28/01/2022, 20:18 WIB,https://www.kompas.com/hype/read/2022/01/28/201838266/unggah-foto-bareng-anak-aura-kasih-papa-baru-mana
"Banyak Siswa di Bali Positif Covid-19, Gubernur Koster Sebut Belum Waktunya Hentikan PTM",siswa bal positif covid gubernur koster henti ptm,REGIONAL,28/01/2022, 20:18 WIB,https://denpasar.kompas.com/read/2022/01/28/201837378/banyak-siswa-di-bali-positif-covid-19-gubernur-koster-sebut-belum-waktunya
ICW Pertanyakan Dasar Hukum Jaksa Agung Terkait Rencana Penindakan Koruptor di Bawah Rp 50 Juta,icw dasar hukum jaksa agung kait rencana tindak koruptor rp juta,NEWS,28/01/2022, 20:18 WIB,https://nasional.kompas.com/read/2022/01/28/20180691/icw-pertanyakan-dasar-hukum-jaksa-agung-terkait-rencana-penindakan-koruptor
"Kasus Wali Kota Bekasi, KPK Dalami Pengadaan Lahan Pembangunan Grand Kota Bintang",wali kota bekas kpk dalam ada lahan bangun grand kota bintang,NEWS,28/01/2022, 20:16 WIB,https://nasional.kompas.com/read/2022/01/28/20165991/kasus-wali-kota-bekasi-kpk-dalami-pengadaan-lahan-pembangunan-grand-kota
Sembilan Kios di Pasar Rebo Terbakar,sembilan kios pasar rebo bakar,NEWS,28/01/2022, 20:15 WIB,https://megapolitan.kompas.com/read/2022/01/28/20154601/sembilan-kios-di-pasar-rebo-terbakar
"Pedagang Minyak Goreng di Palopo Siap Turunkan Harganya, asalkan...",dagang minyak goreng palopo turun harga,REGIONAL,28/01/2022, 20:15 WIB,https://makassar.kompas.com/read/2022/01/28/201532478/pedagang-minyak-goreng-di-palopo-siap-turunkan-harganya-asalkan
"Pilpres Italia Buntu Berhari-hari, Banyak yang Golput",pilpres italia buntu hari golput,GLOBAL,28/01/2022, 20:15 WIB,https://www.kompas.com/global/read/2022/01/28/201500570/pilpres-italia-buntu-berhari-hari-banyak-yang-golput
"Madura United Vs PSIS: Usia Kepala 4 Bukan Halangan, Beto Bantu Laskar Sape Kerrab Menang 2-1",madura united vs psis usia kepala halang beto bantu laskar sape kerrab menang,BOLA,28/01/2022, 20:14 WIB,https://bola.kompas.com/read/2022/01/28/20143698/madura-united-vs-psis-usia-kepala-4-bukan-halangan-beto-bantu-laskar-sape-kerrab
Alasan Layangan Putus Bakal Tayang di RCTI,alas layang putus tayang rcti,HYPE,28/01/2022, 20:13 WIB,https://www.kompas.com/hype/read/2022/01/28/201313266/alasan-layangan-putus-bakal-tayang-di-rcti
"Resmi Diluncurkan, Angkot Ber-AC di Jakarta Dilengkapi Kamera CCTV hingga Emergency Button",resmi luncur angkot ber ac jakarta lengkap kamera cctv hingga emergency button,NEWS,28/01/2022, 20:12 WIB,https://megapolitan.kompas.com/read/2022/01/28/20124621/resmi-diluncurkan-angkot-ber-ac-di-jakarta-dilengkapi-kamera-cctv-hingga
